"nid"	"departamento_code"	"departamento_name"	"id"	"municipio_name"	"km2"	"habtotkm2"	"habrurkm2"	"pob2012t"	"pob2012ur"	"pob2012ru"	"pob2015t"	"pob2015ur"	"pob2015ru"	"municipio_capital_name"	"lat"	"lon"	"dms_lat"	"dms_lon"	"asnm"	"pob1963t"	"pob1963ur"	"pob1963ru"	"pob1971t"	"pob1971ur"	"pob1971ru"	"pob1995t"	"pob1995ur"	"pob1995ru"	"pob2005t"	"pob2005ur"	"pob2005ru"	"pob2008ur"	"pob2008ru"	"pob2008t"	"pob2009ur"	"pob2009ru"	"pob2009t"	"MACROREGIO"	"DEPTO"	"MUNICIPIO"	"POB_06"	"PURB_06"	"PRUR_06"	"POB_07"	"PURB_07"	"PRUR_07"	"POB_08"	"PURB_08"	"PRUR_08"	"POB_09"	"PURB_09"	"PRUR_09"	"POB_10"	"PURB_10"	"PRUR_10"	"POB_11"	"PURB_11"	"PRUR_11"	"POB_12"	"PURB_12"	"PRUR_12"	"POB_13"	"PURB_13"	"PRUR_13"	"POB_14"	"PURB_14"	"PRUR_14"
32	25	Estelí 	2515	Estelí	795.67	154.4911835	28.28685259	122924	100417	22507	125455	104846	20609	Estelí	13.08333333	-86.35	130500	-862100	843	27367	12742	14625	34828	19801	15027	96110	73952	22158	115294	92763	22531	98116	22538	120654	99061	22203	121264	central	ESTELI	Esteli	116380	94072	22308	117468	95387	22081	118557	96709	21848	119648	98036	21612	120739	99371	21369	121831	100609	21222	122924	101840	21084	123772	102858	20914	124616	103862	20753
33	25	Estelí 	2520	San Juan de Limay	427.57	34.36630259	24.62052997	14694	4167	10527	14844	4517	10327	San Juan de Limay	13.16666667	-86.6	131000	-863600	281	9333	1847	7486	8652	2148	6504	13134	3648	9486	14115	3844	10272	3976	10196	14172	4050	10229	14279	central	ESTELI	San Juan de Limay	14200	3909	10291	14284	3975	10308	14367	4043	10324	14450	4111	10339	14532	4178	10353	14613	4246	10367	14694	4315	10379	14745	4379	10366	14795	4446	10348
34	25	Estelí 	2525	La Trinidad	269.99	81.32523427	36.46060965	21957	12113	9844	22181	12476	9705	La Trinidad	12.96666667	-86.23333333	125800	-861400	601	10692	2340	8352	12001	3410	8591	19427	7624	11803	21092	11505	9587	11744	9620	21364	11861	9638	21499	central	ESTELI	La Trinidad	21218	11617	9602	21344	11728	9616	21468	11838	9630	21592	11948	9644	21715	12058	9657	21836	12156	9680	21957	12254	9703	22033	12328	9705	22108	12402	9706
35	25	Estelí 	2530	San Nicolás	163	45.46625767	40.35582822	7411	833	6578	7487	1148	6338	San Nicolás	12.91666667	-86.35	125500	-862100	985	4016	119	3897	3413	198	3215	6534	503	6031	7119	651	6468	776	6496	7272	822	6487	7309	central	ESTELI	San Nicolas	7162	690	6472	7204	731	6473	7246	776	6470	7288	822	6466	7329	872	6458	7370	923	6447	7411	977	6434	7437	1032	6405	7462	1088	6374
36	30	Chinandega 	3005	San Pedro del Norte	71.5	70.76923077	60.25174825	5060	752	4308	5153	865	4288	San Pedro del Norte	13.26666667	-86.86666667	131600	-865200	500	3194	321	2873	3449	437	3012	4107	415	3692	4770	664	4106	727	4249	4976	743	4252	4995	Pacifico	CHINANDEGA	San Pedro del Norte	4812	682	4130	4853	700	4153	4894	717	4177	4936	736	4199	4977	756	4222	5019	775	4244	5060	797	4263	5091	817	4274	5122	841	4282
37	30	Chinandega 	3010	San Francisco del Norte	120.31	59.60435542	50.80209459	7171	1059	6112	7244	1254	5990	San Francisco del Norte	13.2	-86.76666667	131200	-864600	396	5105	393	4712	4849	488	4361	6113	595	5518	6889	927	5961	1013	6006	7019	1042	6008	7050	Pacifico	CHINANDEGA	San Francisco del Norte	6930	956	5974	6971	985	5986	7011	1015	5996	7052	1045	6006	7092	1077	6015	7132	1109	6022	7171	1143	6028	7196	1178	6018	7220	1215	6005
38	30	Chinandega 	3015	Cinco Pinos	60.38	117.5057966	95.34614111	7095	1338	5757	7167	1508	5660	Cinco Pinos	13.21666667	-86.86666667	131300	-865200	400	3705	416	3289	4448	466	3982	6263	561	5702	6816	1209	5607	1289	5656	6945	1316	5660	6976	Pacifico	CHINANDEGA	Cinco Pinos	6856	1236	5620	6897	1263	5634	6937	1292	5646	6977	1320	5657	7017	1349	5668	7056	1379	5677	7095	1410	5685	7120	1441	5679	7144	1472	5671
39	30	Chinandega 	3020	Santo Tomás del Norte	39.99	203.5508877	165.3163291	8140	1529	6611	8223	1761	6462	Santo Tomás del Norte	13.18333333	-86.91666667	131100	-865500	180	2881	597	2284	3142	632	2510	7457	405	7052	7819	1361	6458	1468	6500	7968	1504	6499	8003	Pacifico	CHINANDEGA	Santo Tomas del Norte	7866	1397	6469	7913	1433	6479	7959	1471	6488	8005	1509	6496	8050	1547	6503	8095	1587	6508	8140	1630	6510	8168	1671	6497	8196	1715	6481
40	30	Chinandega 	3025	El Viejo	1274.91	67.70438698	31.71282679	86317	45886	40431	87902	48912	38991	El Viejo	12.66666667	-87.16666667	124000	-871000	43	19534	7190	12344	24084	8480	15604	73360	35702	37658	81373	41896	39476	44731	40152	84883	45294	39908	85202	Pacifico	CHINANDEGA	El Viejo	82079	42612	39467	82786	43335	39451	83493	44135	39358	84200	44897	39304	84906	45659	39248	85612	46369	39243	86317	47078	39239	86849	47694	39155	87378	48306	39071
41	30	Chinandega 	3030	Puerto Morazán	517.34	29.94162446	16.14025592	15490	7140	8350	16013	7684	8329	Tonalá	12.76666667	-87.13333333	124600	-870800	10	2932	1420	1512	3369	1608	1761	12117	4638	7479	14100	6351	7750	6856	8112	14968	6943	8119	15062	Pacifico	CHINANDEGA	Puerto Morazan	14294	6481	7813	14490	6614	7876	14687	6748	7939	14885	6882	8003	15085	7022	8064	15287	7156	8130	15490	7295	8195	15664	7422	8242	15838	7552	8286
42	30	Chinandega 	3035	Somotillo	724.71	44.51711719	22.82154241	32262	15723	16539	33102	17552	15550	Somotillo	13.03333333	-86.9	130200	-865400	40	9874	1435	8439	11616	1853	9763	25596	10222	15374	29886	13805	16082	15114	16335	31449	15404	16203	31607	Pacifico	CHINANDEGA	Somotillo	30221	14160	16061	30558	14524	16034	30896	14894	16002	31236	15269	15967	31576	15656	15921	31919	16038	15880	32262	16430	15832	32542	16797	15745	32822	17171	15652
43	30	Chinandega 	3040	Villanueva	779.88	39.05857311	26.62332667	30461	9698	20763	31020	10778	20242	Villanueva	12.96666667	-86.81666667	125800	-864900	60	5708	946	4762	7915	1349	6566	25083	3469	21614	28716	8676	20040	8625	18837	27462	8776	18789	27565	Pacifico	CHINANDEGA	Villanueva	28966	8875	20090	29215	9077	20138	29465	9283	20182	29714	9489	20225	29963	9702	20261	30212	9913	20299	30461	10133	20328	30649	10341	20308	30835	10555	20280
44	30	Chinandega 	3045	Chinandega	686.61	194.2310773	38.1628581	133361	107158	26203	134720	110719	24001	Chinandega	12.61666667	-87.11666667	123700	-870700	70	36885	22409	14476	45298	29922	15376	123198	102514	20684	128109	101474	26635	105941	26450	132391	106635	26075	132710	Pacifico	CHINANDEGA	Chinandega	128875	102519	26356	129636	103628	26008	130392	104664	25728	131143	105694	25449	131888	106762	25126	132628	107717	24910	133361	108659	24702	133823	109366	24457	134276	110053	24223
45	30	Chinandega 	3050	El Realejo	104.54	93.52400995	50.39219438	9777	4509	5268	9877	4728	5148	El Realejo	12.53333333	-87.16666667	123200	-871000	7	2158	471	1687	2366	522	1844	8680	3574	5106	9392	4240	5152	4388	5183	9571	4434	5180	9614	Pacifico	CHINANDEGA	El Realejo	9448	4291	5157	9504	4344	5160	9559	4396	5163	9614	4448	5167	9669	4500	5169	9723	4550	5174	9777	4600	5177	9811	4642	5169	9844	4684	5160
46	30	Chinandega 	3055	Corinto	70.67	255.2143767	0	18036	18036	0	18220	18220	0	Corinto	12.48333333	-87.16666667	122900	-871000	2	9650	9177	473	14687	13371	1316	17893	17632	261	17326	17326	0	17730	0	17730	17797	0	17797	Pacifico	CHINANDEGA	Corinto	17429	17429	0	17532	17532	0	17634	17634	0	17736	17736	0	17837	17837	0	17937	17937	0	18036	18036	0	18099	18099	0	18160	18160	0
47	30	Chinandega 	3060	Chichigalpa	222.54	229.9227105	49.82475061	51167	40079	11088	52000	41704	10296	Chichigalpa	12.56666667	-87.01666667	123400	-870100	85	19685	11168	8517	22923	14596	8327	45426	31246	14180	48469	37405	11064	36107	10185	46292	36348	10055	46403	Pacifico	CHINANDEGA	Chichigalpa	48856	37879	10977	49243	38354	10889	49630	38830	10800	50015	39296	10719	50400	39779	10621	50784	40221	10564	51167	40660	10508	51448	41015	10433	51725	41363	10363
48	30	Chinandega 	3065	Posoltega	149.04	125.6374128	80.53542673	18725	6722	12003	18916	7297	11619	Posoltega	12.55	-86.98333333	123300	-865900	70	7313	1403	5910	7140	1131	6009	16475	4502	11973	17988	6188	11800	6507	11823	18330	6610	11801	18411	Pacifico	CHINANDEGA	Posoltega	18095	6297	11798	18202	6408	11794	18308	6519	11789	18414	6631	11783	18518	6746	11773	18622	6857	11765	18725	6973	11752	18790	7078	11712	18854	7186	11668
